rel,loc,goals,isar,apply,by,bad,isar_ratio,quality
Hahn_Banach/Function_Norm.thy,279,8,150,0,38,0,1.0,1.0
Hahn_Banach/Function_Order.thy,139,10,18,0,14,0,1.0,1.0
Hahn_Banach/Hahn_Banach_Ext_Lemmas.thy,277,4,215,0,61,0,1.0,1.0
Hahn_Banach/Hahn_Banach_Sup_Lemmas.thy,440,12,304,0,58,0,1.0,1.0
Hahn_Banach/Linearform.thy,61,3,31,0,13,0,1.0,1.0
Hahn_Banach/Normed_Space.thy,113,4,49,0,15,0,1.0,1.0
Hahn_Banach/Subspace.thy,504,28,338,0,99,0,1.0,1.0
Hahn_Banach/Vector_Space.thy,378,40,287,0,99,0,1.0,1.0
Hahn_Banach/Zorn_Lemma.thy,53,2,27,0,5,0,1.0,1.0
Hilbert_Choice.thy,1286,123,644,0,325,0,1.0,1.0
IMP/Abs_Int1_const.thy,146,1,49,0,16,0,1.0,1.0
IMP/Collecting1.thy,45,4,15,0,7,0,1.0,1.0
IMP/Compiler.thy,262,14,37,0,24,0,1.0,1.0
IMP/Compiler2.thy,633,50,243,0,107,0,1.0,1.0
IMP/Def_Init_Big.thy,69,3,26,0,9,0,1.0,1.0
IMP/Denotational.thy,172,14,102,0,34,0,1.0,1.0
IMP/Fold.thy,206,12,93,0,50,0,1.0,1.0
IMP/Halting.thy,69,2,22,0,7,0,1.0,1.0
IMP/Hoare_Sound_Complete.thy,86,11,31,0,16,0,1.0,1.0
IMP/Live.thy,268,16,141,0,77,0,1.0,1.0
IMP/Live_True.thy,208,16,103,0,45,0,1.0,1.0
IMP/Sem_Equiv.thy,157,21,33,0,33,0,1.0,1.0
IMP/Star.thy,31,3,7,0,2,0,1.0,1.0
IMP/VCG.thy,130,5,64,0,18,0,1.0,1.0
IMP/VCG_Total_EX.thy,74,1,8,0,1,0,1.0,1.0
IMP/VCG_Total_EX2.thy,156,6,66,0,18,0,1.0,1.0
Imperative_HOL/Ref.thy,323,47,1,0,47,0,1.0,1.0
Imperative_HOL/ex/Imperative_Reverse.thy,119,5,41,0,12,0,1.0,1.0
Induct/Comb.thy,202,16,27,0,19,0,1.0,1.0
Induct/Nested_Datatype.thy,62,4,18,0,7,0,1.0,1.0
Induct/PropLog.thy,286,29,48,0,36,0,1.0,1.0
Induct/QuoDataType.thy,439,49,78,0,68,0,1.0,1.0
Induct/QuoNestedDataType.thy,450,44,92,0,67,0,1.0,1.0
Induct/Sigma_Algebra.thy,49,2,18,0,7,0,1.0,1.0
Inequalities.thy,38,2,11,0,5,0,1.0,1.0
Isar_Examples/Expr_Compiler.thy,238,5,115,0,30,0,1.0,1.0
Isar_Examples/Fibonacci.thy,170,9,108,0,35,0,1.0,1.0
Isar_Examples/Group.thy,258,9,100,0,42,0,1.0,1.0
Isar_Examples/Group_Context.thy,95,4,56,0,22,0,1.0,1.0
Isar_Examples/Mutilated_Checkerboard.thy,291,21,172,0,58,0,1.0,1.0
Isar_Examples/Puzzle.thy,76,1,67,0,13,0,1.0,1.0
Isar_Examples/Summation.thy,143,5,57,0,20,0,1.0,1.0
Lattice/Bounds.thy,330,26,205,0,35,0,1.0,1.0
Lattice/CompleteLattice.thy,453,33,286,0,46,0,1.0,1.0
Lattice/Lattice.thy,633,42,446,0,77,0,1.0,1.0
Lattice/Orders.thy,300,17,165,0,24,0,1.0,1.0
Lattices.thy,708,111,73,0,140,0,1.0,1.0
Lazy_Sequence.thy,335,24,5,0,28,0,1.0,1.0
Library/Cardinality.thy,398,24,92,0,71,0,1.0,1.0
Library/Centered_Division.thy,179,28,28,0,36,0,1.0,1.0
Library/Code_Abstract_Char.thy,191,21,40,0,31,0,1.0,1.0
Library/Code_Abstract_Nat.thy,133,4,5,0,6,0,1.0,1.0
Library/Code_Cardinality.thy,150,9,27,0,15,0,1.0,1.0
Library/Code_Real_Approx_By_Float.thy,187,6,6,0,11,0,1.0,1.0
Library/Code_Target_Int.thy,217,38,6,0,39,0,1.0,1.0
Library/Combine_PER.thy,55,9,11,0,11,0,1.0,1.0
Library/Countable.thy,330,15,71,0,47,0,1.0,1.0
Library/Countable_Complete_Lattices.thy,278,57,31,0,68,0,1.0,1.0
Library/Countable_Set_Type.thy,629,281,52,0,64,0,1.0,1.0
Library/DAList.thy,230,12,5,0,21,0,1.0,1.0
Library/Diagonal_Subsequence.thy,114,16,40,0,21,0,1.0,1.0
Library/Dual_Ordered_Lattice.thy,405,39,40,0,63,0,1.0,1.0
Library/Extended_Nat.thy,670,96,67,0,113,0,1.0,1.0
Library/Finite_Lattice.thy,299,27,34,0,41,0,1.0,1.0
Library/Fun_Lexorder.thy,96,7,71,0,29,0,1.0,1.0
Library/Function_Algebras.thy,233,12,19,0,36,0,1.0,1.0
Library/Going_To_Filter.thy,127,19,5,0,18,0,1.0,1.0
Library/Groups_Big_Fun.thy,295,21,107,0,54,0,1.0,1.0
Library/IArray.thy,235,20,13,0,24,0,1.0,1.0
Library/Indicator_Function.thy,214,35,45,0,45,0,1.0,1.0
Library/Infinite_Typeclass.thy,73,4,14,0,13,0,1.0,1.0
Library/Lexord.thy,196,8,58,0,30,0,1.0,1.0
Library/Linear_Temporal_Logic_on_Streams.thy,873,126,334,0,192,0,1.0,1.0
Library/ListVector.thy,158,19,35,0,24,0,1.0,1.0
Library/List_Lenlexorder.thy,106,6,22,0,18,0,1.0,1.0
Library/List_Lexorder.thy,108,8,18,0,19,0,1.0,1.0
Library/Log_Nat.thy,466,47,209,0,107,0,1.0,1.0
Library/Mapping.thy,963,145,200,0,195,0,1.0,1.0
Library/More_List.thy,399,54,138,0,89,0,1.0,1.0
Library/Multiset_Order.thy,914,71,331,0,178,0,1.0,1.0
Library/NList.thy,114,21,33,0,29,0,1.0,1.0
Library/Nat_Bijection.thy,410,67,97,0,80,0,1.0,1.0
Library/Open_State_Syntax.thy,163,2,3,0,1,0,1.0,1.0
Library/Pattern_Aliases.thy,211,3,11,0,3,0,1.0,1.0
Library/Periodic_Fun.thy,173,25,43,0,36,0,1.0,1.0
Library/Power_By_Squaring.thy,69,3,5,0,5,0,1.0,1.0
Library/Product_Lexorder.thy,130,6,35,0,14,0,1.0,1.0
Library/Product_Order.thy,314,31,57,0,70,0,1.0,1.0
Library/Product_Plus.thy,137,14,21,0,25,0,1.0,1.0
Library/Quadratic_Discriminant.thy,202,12,84,0,34,0,1.0,1.0
Library/Quotient_Set.thy,104,14,10,0,17,0,1.0,1.0
Library/Quotient_Type.thy,198,13,110,0,19,0,1.0,1.0
Library/RBT.thy,248,39,4,0,48,0,1.0,1.0
Library/Real_Mod.thy,327,54,90,0,82,0,1.0,1.0
Library/Saturated.thy,299,20,76,0,44,0,1.0,1.0
Library/Set_Algebras.thy,343,54,37,0,65,0,1.0,1.0
Library/Signed_Division.thy,205,30,16,0,36,0,1.0,1.0
Library/Stream.thy,637,110,160,0,134,0,1.0,1.0
Library/Subseq_Order.thy,104,18,8,0,17,0,1.0,1.0
Library/Suc_Notation.thy,134,2,2,0,2,0,1.0,1.0
Library/Transitive_Closure_Table.thy,230,12,145,0,52,0,1.0,1.0
Limited_Sequence.thy,216,1,4,0,1,0,1.0,1.0
Metis_Examples/Type_Encodings.thy,95,8,1,0,8,0,1.0,1.0
MicroJava/BV/EffectMono.thy,444,11,300,0,87,0,1.0,1.0
MicroJava/Comp/TranslCompTp.thy,157,4,4,0,4,0,1.0,1.0
MicroJava/DFA/LBVComplete.thy,378,17,293,0,105,0,1.0,1.0
MicroJava/DFA/LBVCorrect.thy,222,10,161,0,53,0,1.0,1.0
MicroJava/DFA/LBVSpec.thy,373,33,172,0,70,0,1.0,1.0
MicroJava/JVM/JVMExceptions.thy,59,1,2,0,1,0,1.0,1.0
MicroJava/JVM/JVMState.thy,54,1,7,0,2,0,1.0,1.0
Nat.thy,2696,374,753,0,538,0,1.0,1.0
Nominal/Examples/Compile.thy,241,3,10,0,7,0,1.0,1.0
Nominal/Examples/Crary.thy,936,49,366,0,236,0,1.0,1.0
Nominal/Examples/SN.thy,534,30,211,0,106,0,1.0,1.0
Nominal/Examples/SOS.thy,550,37,188,0,128,0,1.0,1.0
Nominal/Examples/Support.thy,147,9,51,0,28,0,1.0,1.0
Nonstandard_Analysis/HLim.thy,314,36,107,0,64,0,1.0,1.0
Nonstandard_Analysis/HSEQ.thy,502,64,135,0,98,0,1.0,1.0
Nonstandard_Analysis/HSeries.thy,166,35,7,0,36,0,1.0,1.0
Nonstandard_Analysis/HyperDef.thy,400,79,32,0,89,0,1.0,1.0
Nonstandard_Analysis/HyperNat.thy,381,89,33,0,94,0,1.0,1.0
Nonstandard_Analysis/NSCA.thy,391,87,21,0,93,0,1.0,1.0
Nonstandard_Analysis/Star.thy,297,48,40,0,56,0,1.0,1.0
Number_Theory/Euler_Criterion.thy,216,24,98,0,57,0,1.0,1.0
Number_Theory/Mod_Exp.thy,118,8,29,0,17,0,1.0,1.0
Number_Theory/Modular_Inverse.thy,143,14,53,0,35,0,1.0,1.0
Number_Theory/Pocklington.thy,1272,51,845,0,372,0,1.0,1.0
Number_Theory/Prime_Powers.thy,519,53,292,0,137,0,1.0,1.0
Number_Theory/Residue_Primitive_Roots.thy,1160,50,724,0,295,0,1.0,1.0
Number_Theory/Totient.thy,562,52,315,0,135,0,1.0,1.0
Option.thy,393,76,16,0,78,0,1.0,1.0
Parity.thy,1393,140,440,0,276,0,1.0,1.0
Power.thy,1079,175,316,0,234,0,1.0,1.0
Predicate_Compile_Examples/Hotel_Example.thy,92,2,4,0,1,0,1.0,1.0
Predicate_Compile_Examples/Specialisation_Examples.thy,283,4,29,0,7,0,1.0,1.0
Probability/Discrete_Topology.thy,65,1,21,0,9,0,1.0,1.0
Probability/Helly_Selection.thy,299,4,182,0,80,0,1.0,1.0
Probability/Hoeffding.thy,924,23,485,0,208,0,1.0,1.0
Probability/PMF_Impl.thy,574,29,45,0,40,0,1.0,1.0
Probability/Product_PMF.thy,914,40,533,0,193,0,1.0,1.0
Probability/Random_Permutations.thy,232,10,91,0,34,0,1.0,1.0
Probability/Stopping_Time.thy,264,25,110,0,53,0,1.0,1.0
Probability/ex/Dining_Cryptographers.thy,476,12,265,0,121,0,1.0,1.0
Probability/ex/Measure_Not_CCC.thy,176,9,91,0,36,0,1.0,1.0
Proofs/Extraction/Greatest_Common_Divisor.thy,89,2,39,0,15,0,1.0,1.0
Proofs/Extraction/Pigeonhole.thy,248,2,215,0,52,0,1.0,1.0
Proofs/Extraction/QuotRem.thy,46,2,23,0,9,0,1.0,1.0
Proofs/Lambda/Lambda.thy,209,22,31,0,27,0,1.0,1.0
Proofs/Lambda/Standardization.thy,361,23,250,0,106,0,1.0,1.0
Proofs/ex/Proof_Terms.thy,67,2,6,0,0,0,1.0,1.0
Quickcheck_Random.thy,283,3,10,0,4,0,1.0,1.0
Quotient_Examples/Int_Pow.thy,149,7,72,0,31,0,1.0,1.0
Quotient_Examples/Quotient_Rat.thy,267,1,9,0,5,0,1.0,1.0
Random_Pred.thy,77,1,5,0,0,0,1.0,1.0
Real_Asymp/Multiseries_Expansion_Bounds.thy,696,82,199,0,123,0,1.0,1.0
Real_Asymp/Real_Asymp_Approx.thy,168,1,18,0,2,0,1.0,1.0
SMT_Examples/SMT_Examples.thy,497,78,1,0,78,0,1.0,1.0
SPARK/Examples/RIPEMD-160/Hash.thy,101,4,14,0,7,0,1.0,1.0
SPARK/Manual/Reference.thy,333,1,32,0,9,0,1.0,1.0
SPARK/SPARK_Setup.thy,188,19,47,0,36,0,1.0,1.0
Semiring_Normalization.thy,196,5,32,0,17,0,1.0,1.0
Set_Interval.thy,2884,244,397,0,342,0,1.0,1.0
Statespace/DistinctTreeProver.thy,636,25,387,0,92,0,1.0,1.0
Statespace/StateSpaceLocale.thy,40,3,3,0,3,0,1.0,1.0
String.thy,941,62,101,0,96,0,1.0,1.0
Sum_Type.thy,248,30,79,0,39,0,1.0,1.0
TLA/Memory/RPCParameters.thy,46,1,2,0,0,0,1.0,1.0
Transitive_Closure.thy,1628,247,463,0,280,0,1.0,1.0
Typedef.thy,113,8,73,0,22,0,1.0,1.0
Types_To_Sets/Examples/Finite.thy,91,5,8,0,6,0,1.0,1.0
Types_To_Sets/Examples/Linear_Algebra_On.thy,1031,9,1,0,13,0,1.0,1.0
Types_To_Sets/Examples/Prerequisites.thy,102,9,4,0,6,0,1.0,1.0
Unix/Nested_Environment.thy,520,20,271,0,70,0,1.0,1.0
Zorn.thy,896,64,469,0,188,0,1.0,1.0
ex/Argo_Examples.thy,1349,3,348,0,99,0,1.0,1.0
ex/Birthday_Paradox.thy,103,5,52,0,21,0,1.0,1.0
ex/CTL.thy,312,23,154,0,48,0,1.0,1.0
ex/Code_Lazy_Demo.thy,186,3,1,0,9,0,1.0,1.0
ex/Erdoes_Szekeres.thy,130,7,77,0,35,0,1.0,1.0
ex/Execute_Choice.thy,103,4,35,0,13,0,1.0,1.0
ex/Function_Growth.thy,424,22,231,0,84,0,1.0,1.0
ex/HarmonicSeries.thy,299,5,177,0,69,0,1.0,1.0
ex/LocaleTest2.thy,861,73,441,0,118,0,1.0,1.0
ex/NatSum.thy,121,14,20,0,17,0,1.0,1.0
ex/Normalization_by_Evaluation.thy,139,63,3,0,63,0,1.0,1.0
ex/Note_on_signed_division_on_words.thy,51,3,10,0,6,0,1.0,1.0
ex/PER.thy,266,19,120,0,20,0,1.0,1.0
ex/Peano_Axioms.thy,144,12,48,0,18,0,1.0,1.0
ex/Quicksort.thy,44,5,4,0,6,0,1.0,1.0
ex/Residue_Ring.thy,90,4,3,0,13,0,1.0,1.0
ex/Serbian.thy,221,7,15,0,9,0,1.0,1.0
ex/Set_Theory.thy,213,22,42,0,45,0,1.0,1.0
ex/Specifications_with_bundle_mixins.thy,65,2,15,0,9,0,1.0,1.0
ex/ThreeDivides.thy,234,10,73,0,30,0,1.0,1.0
ex/Triangular_Numbers.thy,76,15,10,0,13,0,1.0,1.0
ex/Word_Msb.thy,151,20,17,0,24,0,1.0,1.0
Real_Asymp/Multiseries_Expansion.thy,5393,295,1671,1,792,0,0.9994,0.9994
Decision_Procs/MIR.thy,5710,240,3789,3,1786,0,0.9992,0.9992
BNF_Wellorder_Constructions.thy,1633,109,790,1,392,0,0.9987,0.9987
Int.thy,2375,311,788,1,510,0,0.9987,0.9987
Library/Sublist.thy,1532,226,514,1,361,0,0.9981,0.9981
Decision_Procs/Parametric_Ferrante_Rackoff.thy,4014,212,1683,4,759,0,0.9976,0.9976
Hahn_Banach/Hahn_Banach.thy,491,4,345,1,98,0,0.9971,0.9971
Computational_Algebra/Polynomial.thy,6698,435,2331,7,1144,0,0.997,0.997
Library/Ramsey.thy,1188,66,602,2,279,0,0.9967,0.9967
BNF_Cardinal_Order_Relation.thy,1924,176,865,3,496,0,0.9965,0.9965
Analysis/Elementary_Metric_Spaces.thy,3298,280,1403,5,761,0,0.9964,0.9964
Cardinals/Cardinal_Order_Relation.thy,1505,172,511,2,357,0,0.9961,0.9961
Analysis/Elementary_Topology.thy,2433,231,988,4,529,0,0.996,0.996
Analysis/Measure_Space.thy,3730,315,1746,7,839,0,0.996,0.996
Conditionally_Complete_Lattices.thy,983,156,248,1,235,0,0.996,0.996
Algebra/Polynomials.thy,2533,169,1223,5,538,0,0.9959,0.9959
Analysis/Abstract_Metric_Spaces.thy,5073,364,2166,9,1124,0,0.9959,0.9959
Library/Omega_Words_Fun.thy,969,76,481,2,199,0,0.9959,0.9959
Analysis/Sigma_Algebra.thy,2284,225,954,4,472,0,0.9958,0.9958
Computational_Algebra/Formal_Power_Series.thy,6815,300,1438,6,685,0,0.9958,0.9958
Analysis/Gamma_Function.thy,3577,187,1564,7,674,0,0.9955,0.9955
Algebra/Group_Action.thy,916,54,398,2,225,0,0.995,0.995
Complete_Lattices.thy,1375,260,200,1,310,0,0.995,0.995
Decision_Procs/Commutative_Ring_Complete.thy,516,15,400,2,139,0,0.995,0.995
Library/Multiset.thy,5055,574,1702,9,1022,0,0.9947,0.9947
Complex_Analysis/Meromorphic.thy,1896,122,902,5,438,0,0.9945,0.9945
Datatype_Examples/Regex_ACIDZ.thy,459,46,179,1,92,0,0.9944,0.9944
Groups_Big.thy,1866,171,871,5,398,0,0.9943,0.9943
Isar_Examples/Basic_Logic.thy,408,22,174,1,26,0,0.9943,0.9943
Rings.thy,2915,304,700,4,468,0,0.9943,0.9943
Analysis/Abstract_Topology.thy,5029,595,1604,10,1036,0,0.9938,0.9938
Analysis/Borel_Space.thy,2037,207,808,5,410,0,0.9938,0.9938
Analysis/Complete_Measure.thy,1165,67,629,4,282,0,0.9937,0.9937
Binomial.thy,1557,118,782,5,362,0,0.9936,0.9936
Complex_Analysis/Laurent_Convergence.thy,2494,172,1224,8,595,0,0.9935,0.9935
Library/Equipollence.thy,798,99,307,2,181,0,0.9935,0.9935
Datatype_Examples/Regex_ACI.thy,327,22,150,1,61,0,0.9934,0.9934
Nominal/Examples/CR.thy,660,33,439,3,215,0,0.9932,0.9932
BNF_Wellorder_Embedding.thy,1166,51,567,4,274,0,0.993,0.993
Product_Type.thy,1422,206,139,1,224,0,0.9929,0.9929
Analysis/Isolated.thy,334,41,134,1,88,0,0.9926,0.9926
Library/Disjoint_Sets.thy,672,70,262,2,136,0,0.9924,0.9924
Analysis/Kronecker_Approximation_Theorem.thy,1364,24,500,4,225,0,0.9921,0.9921
Cardinals/Wellorder_Extension.thy,220,11,124,1,65,0,0.992,0.992
Equiv_Relations.thy,672,109,124,1,140,0,0.992,0.992
Complex_Analysis/Residue_Theorem.thy,1049,14,696,6,270,0,0.9915,0.9915
GCD.thy,3047,319,1037,9,625,0,0.9914,0.9914
Library/Complete_Partial_Order2.thy,1775,194,577,5,316,0,0.9914,0.9914
Library/Lattice_Algebras.thy,526,49,227,2,124,0,0.9913,0.9913
Analysis/Equivalence_Lebesgue_Henstock_Integration.thy,5218,227,2753,25,1191,0,0.991,0.991
Nominal/Nominal.thy,3431,301,885,8,599,0,0.991,0.991
Algebra/UnivPoly.thy,1836,128,853,8,324,0,0.9907,0.9907
Nominal/Examples/Pattern.thy,859,56,415,4,195,0,0.9905,0.9905
Algebra/Multiplicative_Group.thy,1074,67,515,5,276,0,0.9904,0.9904
Analysis/Abstract_Topology_2.thy,1904,182,657,7,384,0,0.9895,0.9895
Cardinals/Wellorder_Relation.thy,343,34,94,1,64,0,0.9895,0.9895
Computational_Algebra/Group_Closure.thy,211,16,93,1,43,0,0.9894,0.9894
Algebra/Zassenhaus.thy,644,14,366,4,197,0,0.9892,0.9892
Algebra/Lattice.thy,785,60,363,4,122,0,0.9891,0.9891
Decision_Procs/Algebra_Aux.thy,508,41,182,2,80,0,0.9891,0.9891
