rel,domain,goals,oneliners,structured,has_sorry
Analysis/Equivalence_Lebesgue_Henstock_Integration.thy,Analysis,227,102,125,0
BNF_Cardinal_Order_Relation.thy,.,176,102,73,0
Parity.thy,.,138,101,37,0
Lattices.thy,.,103,100,3,0
Series.thy,.,142,100,42,0
Analysis/Linear_Algebra.thy,Analysis,146,99,47,0
Auth/Message.thy,Auth,124,99,25,0
Library/FuncSet.thy,Library,120,99,21,0
NthRoot.thy,.,124,99,24,0
Analysis/Line_Segment.thy,Analysis,129,98,31,0
Decision_Procs/Cooper.thy,Decision_Procs,119,98,21,0
Cardinals/Ordinal_Arithmetic.thy,Cardinals,139,97,42,0
Groups_Big.thy,.,170,96,74,0
Library/Linear_Temporal_Logic_on_Streams.thy,Library,126,95,31,0
Matrix_LP/Matrix.thy,Matrix_LP,131,95,35,1
Nitpick_Examples/Core_Nits.thy,Nitpick_Examples,209,95,3,1
Analysis/Retracts.thy,Analysis,136,94,42,0
BNF_Cardinal_Arithmetic.thy,.,118,94,24,0
Equiv_Relations.thy,.,108,93,15,0
Analysis/Lebesgue_Measure.thy,Analysis,127,92,35,0
Deriv.thy,.,150,92,58,0
Hilbert_Choice.thy,.,123,92,31,0
Auth/Guard/Extensions.thy,Auth,104,91,13,0
ex/Meson_Test.thy,ex,103,91,5,1
Algebra/Coset.thy,Algebra,154,90,64,0
Library/Stream.thy,Library,107,90,17,0
Nominal/Examples/Class1.thy,Nominal,215,90,125,0
Transfer.thy,.,100,90,10,0
Algebra/AbelCoset.thy,Algebra,95,88,7,0
Complex_Analysis/Laurent_Convergence.thy,Complex_Analysis,170,88,82,0
Decision_Procs/Ferrack.thy,Decision_Procs,120,88,32,0
Library/Extended_Nat.thy,Library,91,88,3,0
Matrix_LP/SparseMatrix.thy,Matrix_LP,111,88,23,0
UNITY/Extend.thy,UNITY,120,88,32,0
Analysis/Urysohn.thy,Analysis,208,87,121,0
Cardinals/Wellorder_Constructions.thy,Cardinals,94,87,7,0
Quotient.thy,.,99,87,11,0
Wellfounded.thy,.,130,86,44,0
Algebra/Polynomials.thy,Algebra,169,85,84,0
Nonstandard_Analysis/HyperNat.thy,Nonstandard_Analysis,89,84,5,0
Nonstandard_Analysis/NSCA.thy,Nonstandard_Analysis,87,84,3,0
TPTP/TPTP_Proof_Reconstruction_Test_Units.thy,TPTP,111,84,25,1
Probability/Giry_Monad.thy,Probability,135,81,54,0
BNF_Wellorder_Constructions.thy,.,106,80,26,0
Library/Countable_Set.thy,Library,91,80,11,0
Number_Theory/Cong.thy,Number_Theory,103,80,23,0
Decision_Procs/Approximation_Bounds.thy,Decision_Procs,119,79,40,0
TLA/Memory/MemoryImplementation.thy,TLA,137,79,58,0
Library/Interval.thy,Library,83,78,5,0
Lifting.thy,.,87,78,9,0
Modules.thy,.,114,78,36,0
SMT_Examples/SMT_Examples.thy,SMT_Examples,78,78,0,0
Decision_Procs/Dense_Linear_Order.thy,Decision_Procs,81,76,5,0
Nonstandard_Analysis/HyperDef.thy,Nonstandard_Analysis,79,76,3,0
Predicate.thy,.,88,76,12,0
Analysis/Infinite_Products.thy,Analysis,144,75,69,0
Analysis/Nonnegative_Lebesgue_Integration.thy,Analysis,161,75,86,0
SET_Protocol/Message_SET.thy,SET_Protocol,123,75,48,0
SMT_Examples/SMT_Tests.thy,SMT_Examples,78,75,1,1
Algebra/Order.thy,Algebra,84,74,10,0
Lattices_Big.thy,.,118,74,44,0
Algebra/UnivPoly.thy,Algebra,128,73,55,0
Library/Poly_Mapping.thy,Library,98,73,24,0
SMT_Examples/SMT_Examples_Verit.thy,SMT_Examples,76,73,3,1
Analysis/Affine.thy,Analysis,104,72,32,0
Analysis/Elementary_Normed_Spaces.thy,Analysis,105,72,33,0
Analysis/Tagged_Division.thy,Analysis,109,72,37,0
Analysis/Convex_Euclidean_Space.thy,Analysis,132,71,61,0
Analysis/Derivative.thy,Analysis,112,71,40,0
Boolean_Algebras.thy,.,84,71,13,0
Computational_Algebra/Primes.thy,Computational_Algebra,102,70,32,0
UNITY/UNITY.thy,UNITY,81,70,11,0
Option.thy,.,72,69,3,0
UNITY/Union.thy,UNITY,84,69,15,0
ex/Tarski.thy,ex,96,69,27,0
BNF_Fixpoint_Base.thy,.,71,68,3,0
Complex_Analysis/Complex_Singularities.thy,Complex_Analysis,139,68,71,0
Analysis/Infinite_Set_Sum.thy,Analysis,96,67,28,0
Import/HOL_Light_Maps.thy,Import,69,66,3,0
Library/Equipollence.thy,Library,99,66,33,0
Real_Asymp/Multiseries_Expansion_Bounds.thy,Real_Asymp,81,66,15,0
Datatype_Examples/Derivation_Trees/Gram_Lang.thy,Datatype_Examples,133,65,68,0
MicroJava/Comp/CorrCompTp.thy,MicroJava,132,65,67,0
Complex_Analysis/Meromorphic.thy,Complex_Analysis,122,64,58,0
Imperative_HOL/Array.thy,Imperative_HOL,66,64,2,0
SMT_Examples/SMT_Tests_Verit.thy,SMT_Examples,65,64,1,0
ex/Normalization_by_Evaluation.thy,ex,63,63,0,0
BNF_Def.thy,.,64,62,2,0
Library/Infinite_Set.thy,Library,80,61,19,0
Library/Nonpos_Ints.thy,Library,76,61,15,0
Library/Old_Datatype.thy,Library,77,61,16,0
Library/Tree.thy,Library,70,61,9,0
Nominal/Examples/Fsub.thy,Nominal,97,61,36,0
Binomial.thy,.,118,60,58,0
ex/Intuitionistic.thy,ex,62,60,0,1
BNF_Greatest_Fixpoint.thy,.,66,59,7,0
HOLCF/Library/Stream.thy,HOLCF,129,59,70,0
Metis_Examples/Message.thy,Metis_Examples,102,59,43,0
Analysis/Connected.thy,Analysis,76,58,18,0
Analysis/FPS_Convergence.thy,Analysis,104,58,46,0
Auth/Guard/Analz.thy,Auth,60,58,2,0
Library/RBT_Set.thy,Library,93,58,35,0
Probability/Probability_Measure.thy,Probability,104,58,46,0
Factorial.thy,.,67,57,10,0
Imperative_HOL/Heap_Monad.thy,Imperative_HOL,64,57,7,0
Vector_Spaces.thy,.,109,57,52,0
Analysis/Finite_Product_Measure.thy,Analysis,88,56,32,0
HOLCF/Cfun.thy,HOLCF,66,55,11,0
Library/Countable_Complete_Lattices.thy,Library,57,55,2,0
Library/Set_Idioms.thy,Library,76,55,21,0
Nonstandard_Analysis/HSEQ.thy,Nonstandard_Analysis,64,55,9,0
HOLCF/IOA/Sequence.thy,HOLCF,117,54,62,0
Homology/Homology_Groups.thy,Homology,102,54,48,0
Library/Multiset_Order.thy,Library,69,54,15,0
Library/Nat_Bijection.thy,Library,66,54,12,0
Analysis/Further_Topology.thy,Analysis,163,53,110,0
Analysis/Starlike.thy,Analysis,120,53,66,0
Analysis/Interval_Integral.thy,Analysis,70,52,18,0
Auth/Guard/P1.thy,Auth,70,52,17,1
ex/Arith_Examples.thy,ex,54,52,0,1
ex/BigO.thy,ex,76,52,24,0
HOLCF/Domain.thy,HOLCF,78,51,27,0
Library/Lub_Glb.thy,Library,54,51,3,0
Analysis/Set_Integral.thy,Analysis,102,50,52,0
HOLCF/ConvexPD.thy,HOLCF,68,50,18,0
Matrix_LP/ComputeFloat.thy,Matrix_LP,56,50,6,0
String.thy,.,62,50,12,0
Auth/Guard/P2.thy,Auth,65,49,16,0
Bali/State.thy,Bali,111,49,62,0
Cardinals/Order_Relation_More.thy,Cardinals,59,49,10,0
Data_Structures/Tree234_Set.thy,Data_Structures,50,49,1,0
Probability/Distributions.thy,Probability,91,49,42,0
Bali/Table.thy,Bali,62,48,14,0
Data_Structures/RBT_Set.thy,Data_Structures,50,48,2,0
Library/Set_Algebras.thy,Library,51,48,3,0
Algebra/Embedded_Algebras.thy,Algebra,103,47,56,0
Analysis/Brouwer_Fixpoint.thy,Analysis,99,47,52,0
Analysis/Complex_Analysis_Basics.thy,Analysis,70,47,23,0
Analysis/Inner_Product.thy,Analysis,52,47,5,0
Auth/KerberosIV.thy,Auth,116,47,69,0
Data_Structures/Array_Braun.thy,Data_Structures,64,47,17,0
Decision_Procs/ex/Dense_Linear_Order_Ex.thy,Decision_Procs,47,47,0,0
Imperative_HOL/Ref.thy,Imperative_HOL,47,47,0,0
Algebra/Generated_Groups.thy,Algebra,71,46,25,0
Data_Structures/Selection.thy,Data_Structures,70,46,24,0
Examples/Gauss_Numbers.thy,Examples,47,46,1,0
HOLCF/Fixrec.thy,HOLCF,55,46,9,0
HOLCF/Universal.thy,HOLCF,92,46,46,0
Probability/Fin_Map.thy,Probability,83,46,37,0
Algebra/Complete_Lattice.thy,Algebra,74,45,29,0
Analysis/Abstract_Limits.thy,Analysis,54,45,9,0
Analysis/Locally.thy,Analysis,73,45,28,0
Analysis/T1_Spaces.thy,Analysis,68,45,23,0
Combinatorics/Multiset_Permutations.thy,Combinatorics,58,45,13,0
Library/Interval_Float.thy,Library,49,45,4,0
Metis_Examples/Tarski.thy,Metis_Examples,100,45,55,0
Nominal/Examples/Standardization.thy,Nominal,66,45,21,0
Algebra/Ring.thy,Algebra,71,44,27,0
Auth/Public.thy,Auth,53,44,9,0
Combinatorics/Transposition.thy,Combinatorics,45,44,1,0
Library/More_List.thy,Library,54,44,10,0
Library/Real_Mod.thy,Library,54,44,10,0
Bali/Conform.thy,Bali,79,43,36,0
Computational_Algebra/Polynomial_FPS.thy,Computational_Algebra,49,43,6,0
Bali/DefiniteAssignment.thy,Bali,49,42,7,0
Bali/Example.thy,Bali,117,42,75,0
Library/Disjoint_Sets.thy,Library,70,42,28,0
Lifting_Set.thy,.,51,42,9,0
Matrix_LP/ComputeHOL.thy,Matrix_LP,47,42,5,0
Quotient_Examples/DList.thy,Quotient_Examples,47,42,5,0
SET_Protocol/Public_SET.thy,SET_Protocol,48,42,6,0
Algebra/Congruence.thy,Algebra,53,41,12,0
Analysis/Binary_Product_Measure.thy,Analysis,80,41,39,0
Analysis/Measurable.thy,Analysis,59,41,18,0
Decision_Procs/Polynomial_List.thy,Decision_Procs,62,41,20,0
Nominal/Examples/Pattern.thy,Nominal,54,41,13,0
UNITY/Lift_prog.thy,UNITY,66,41,25,0
Auth/KerberosV.thy,Auth,102,40,62,0
Bali/Decl.thy,Bali,66,40,26,0
Combinatorics/Perm.thy,Combinatorics,66,40,26,0
Enum.thy,.,47,40,7,0
Library/Code_Target_Nat.thy,Library,40,40,0,0
Library/Numeral_Type.thy,Library,42,40,2,0
Nonstandard_Analysis/Star.thy,Nonstandard_Analysis,48,40,7,0
Zorn.thy,.,64,40,24,0
Algebra/Sylow.thy,Algebra,47,39,8,0
Complex_Analysis/Cauchy_Integral_Formula.thy,Complex_Analysis,104,39,65,0
HOLCF/UpperPD.thy,HOLCF,57,39,18,0
IMP/Abs_Int0.thy,IMP,47,39,8,0
Library/RBT.thy,Library,39,39,0,0
SMT.thy,.,43,39,4,0
ZF/HOLZF.thy,ZF,85,39,46,0
ex/LocaleTest2.thy,ex,70,39,31,0
Algebra/Elementary_Groups.thy,Algebra,63,38,25,0
Algebra/Multiplicative_Group.thy,Algebra,65,38,27,0
Algebra/Polynomial_Divisibility.thy,Algebra,109,38,71,0
Data_Structures/Binomial_Heap.thy,Data_Structures,49,38,11,0
Datatype_Examples/Regex_ACIDZ.thy,Datatype_Examples,46,38,8,0
HOLCF/IOA/Automata.thy,HOLCF,46,38,8,0
Library/Comparator.thy,Library,41,38,3,0
Library/Countable_Set_Type.thy,Library,41,38,3,0
Nominal/Examples/W.thy,Nominal,46,38,8,0
Analysis/Complete_Measure.thy,Analysis,67,37,30,0
Auth/Guard/Guard.thy,Auth,49,37,12,0
HOLCF/LowerPD.thy,HOLCF,57,37,20,0
HOLCF/Sprod.thy,HOLCF,38,37,1,0
IMP/Compiler2.thy,IMP,47,37,10,0
Library/Code_Target_Int.thy,Library,38,37,1,0
Number_Theory/Gauss.thy,Number_Theory,50,37,13,0
Order_Relation.thy,.,56,37,19,0
Analysis/Bounded_Linear_Function.thy,Analysis,53,36,17,0
Auth/KerberosIV_Gets.thy,Auth,93,36,57,0
Computational_Algebra/Polynomial_Factorial.thy,Computational_Algebra,53,36,17,0
Data_Structures/Tree23_Set.thy,Data_Structures,37,36,1,0
HOLCF/Ssum.thy,HOLCF,36,36,0,0
Homology/Brouwer_Degree.thy,Homology,87,36,51,0
Induct/QuoDataType.thy,Induct,48,36,12,0
Library/Dual_Ordered_Lattice.thy,Library,39,36,3,0
Probability/Stream_Space.thy,Probability,55,36,19,0
UNITY/Guar.thy,UNITY,61,36,25,1
ex/SOS.thy,ex,37,36,0,1
ex/SOS_Cert.thy,ex,37,36,0,1
Analysis/Euclidean_Space.thy,Analysis,41,35,6,0
Auth/Guard/GuardK.thy,Auth,46,35,11,0
Cardinals/Cardinal_Arithmetic.thy,Cardinals,47,35,12,0
Computational_Algebra/Normalized_Fraction.thy,Computational_Algebra,50,35,15,0
Library/Liminf_Limsup.thy,Library,60,35,25,0
Library/Ramsey.thy,Library,66,35,31,0
UNITY/ListOrder.thy,UNITY,62,35,27,0
ex/Unification.thy,ex,54,35,19,0
Algebra/Finite_Extensions.thy,Algebra,58,34,24,0
Algebra/Lattice.thy,Algebra,60,34,26,0
Analysis/Isolated.thy,Analysis,41,34,7,0
Analysis/Ordered_Euclidean_Space.thy,Analysis,36,34,2,0
Data_Structures/Sorting.thy,Data_Structures,44,34,10,0
Decision_Procs/Commutative_Ring.thy,Decision_Procs,40,34,6,0
Library/Omega_Words_Fun.thy,Library,73,34,39,0
Nonstandard_Analysis/HSeries.thy,Nonstandard_Analysis,35,34,1,0
Nonstandard_Analysis/NatStar.thy,Nonstandard_Analysis,41,34,7,0
Record.thy,.,41,34,7,0
UNITY/ProgressSets.thy,UNITY,56,34,22,0
Analysis/Product_Vector.thy,Analysis,45,33,12,0
Analysis/Uniform_Limit.thy,Analysis,68,33,35,0
BNF_Wellorder_Relation.thy,.,39,33,6,0
Computational_Algebra/Squarefree.thy,Computational_Algebra,49,33,16,0
Library/State_Monad.thy,Library,39,33,6,0
MicroJava/BV/JVMType.thy,MicroJava,45,33,12,0
Nominal/Examples/CK_Machine.thy,Nominal,39,33,6,0
Analysis/Product_Topology.thy,Analysis,57,32,25,0
BNF_Wellorder_Embedding.thy,.,48,32,15,0
Combinatorics/Orbits.thy,Combinatorics,60,32,28,0
IMP/Abs_Int2_ivl.thy,IMP,37,32,5,0
Library/BNF_Corec.thy,Library,36,32,4,0
Metis_Examples/Big_O.thy,Metis_Examples,78,32,46,0
Quotient_Examples/Quotient_Message.thy,Quotient_Examples,36,32,4,0
UNITY/Constrains.thy,UNITY,61,32,29,0
Algebra/Galois_Connection.thy,Algebra,42,31,11,0
BNF_Composition.thy,.,36,31,5,0
Computational_Algebra/Fraction_Field.thy,Computational_Algebra,35,31,4,0
Decision_Procs/Algebra_Aux.thy,Decision_Procs,41,31,10,0
Nominal/Examples/Crary.thy,Nominal,49,31,18,0
Nonstandard_Analysis/HLog.thy,Nonstandard_Analysis,32,31,1,0
UNITY/Transformers.thy,UNITY,60,31,29,0
Algebra/Chinese_Remainder.thy,Algebra,43,30,13,0
Analysis/Weierstrass_Theorems.thy,Analysis,66,30,36,0
Computational_Algebra/Nth_Powers.thy,Computational_Algebra,39,30,9,0
Inductive.thy,.,45,30,15,0
Library/Indicator_Function.thy,Library,35,30,5,0
Nonstandard_Analysis/HDeriv.thy,Nonstandard_Analysis,40,30,10,0
Number_Theory/Prime_Powers.thy,Number_Theory,53,30,23,0
Number_Theory/Totient.thy,Number_Theory,52,30,22,0
TPTP/TPTP_Proof_Reconstruction.thy,TPTP,33,30,3,0
Algebra/Weak_Morphisms.thy,Algebra,43,29,14,0
Analysis/Cartesian_Euclidean_Space.thy,Analysis,40,29,10,0
Auth/Smartcard/EventSC.thy,Auth,52,29,23,0
Cardinals/Wellorder_Relation.thy,Cardinals,34,29,5,0
Combinatorics/List_Permutation.thy,Combinatorics,30,29,1,0
Library/Product_Order.thy,Library,31,29,2,0
Algebra/FiniteProduct.thy,Algebra,51,28,23,0
Algebra/QuotRing.thy,Algebra,63,28,35,0
Algebra/Ring_Divisibility.thy,Algebra,48,28,20,0
Analysis/Cross3.thy,Analysis,37,28,9,0
Analysis/Lipschitz.thy,Analysis,51,28,23,0
Bali/WellForm.thy,Bali,116,28,88,0
Data_Structures/AA_Set.thy,Data_Structures,38,28,10,0
Decision_Procs/ex/Commutative_Ring_Ex.thy,Decision_Procs,28,28,0,0
HOLCF/Library/Sum_Cpo.thy,HOLCF,40,28,12,0
Induct/QuoNestedDataType.thy,Induct,43,28,15,0
Library/Log_Nat.thy,Library,46,28,18,0
Library/Signed_Division.thy,Library,30,28,2,0
Nonstandard_Analysis/CLim.thy,Nonstandard_Analysis,30,28,2,0
Nonstandard_Analysis/HLim.thy,Nonstandard_Analysis,36,28,8,0
SMT_Examples/SMT_Word_Examples.thy,SMT_Examples,28,28,0,0
Auth/Event.thy,Auth,27,27,0,0
Auth/Guard/Guard_Shared.thy,Auth,32,27,5,0
Library/Dlist.thy,Library,30,27,3,0
Library/Lattice_Algebras.thy,Library,47,27,20,0
MicroJava/DFA/Semilat.thy,MicroJava,38,27,11,0
Nominal/Examples/SOS.thy,Nominal,37,27,10,0
SET_Protocol/Purchase.thy,SET_Protocol,59,27,32,0
UNITY/Comp.thy,UNITY,40,27,13,0
UNITY/ELT.thy,UNITY,68,27,41,0
UNITY/WFair.thy,UNITY,67,27,40,0
Analysis/Extended_Real_Limits.thy,Analysis,84,26,57,0
Analysis/Sparse_In.thy,Analysis,34,26,8,0
Analysis/ex/Metric_Arith_Examples.thy,Analysis,26,26,0,0
Auth/Yahalom.thy,Auth,41,26,15,0
Bali/Basis.thy,Bali,32,26,6,0
Basic_BNF_LFPs.thy,.,26,26,0,0
HOLCF/FOCUS/Fstreams.thy,HOLCF,46,26,20,0
Library/Bourbaki_Witt_Fixpoint.thy,Library,39,26,13,0
Library/Sorting_Algorithms.thy,Library,45,26,19,0
Number_Theory/Residues.thy,Number_Theory,43,26,17,0
ex/Transfer_Int_Nat.thy,ex,37,26,11,0
BNF_Least_Fixpoint.thy,.,29,25,4,0
Complex_Analysis/Winding_Numbers.thy,Complex_Analysis,82,25,57,0
Computational_Algebra/Fundamental_Theorem_Algebra.thy,Computational_Algebra,48,25,23,0
Examples/Rewrite_Examples.thy,Examples,32,25,7,0
HOLCF/ex/Concurrency_Monad.thy,HOLCF,38,25,13,0
IMP/Abs_Int3.thy,IMP,44,25,17,1
Induct/SList.thy,Induct,42,25,17,0
Library/Finite_Lattice.thy,Library,27,25,2,0
Nonstandard_Analysis/Examples/NSPrimes.thy,Nonstandard_Analysis,31,25,6,0
Nonstandard_Analysis/HTranscendental.thy,Nonstandard_Analysis,38,25,13,0
Presburger.thy,.,34,25,9,0
Probability/Projective_Family.thy,Probability,44,25,19,0
SET_Protocol/Cardholder_Registration.thy,SET_Protocol,62,25,37,0
Types_To_Sets/Examples/Group_On_With.thy,Types_To_Sets,35,25,10,0
ex/PresburgerEx.thy,ex,27,25,2,1
ex/Refute_Examples.thy,ex,177,25,5,1
Algebra/Group_Action.thy,Algebra,53,24,29,0
Algebra/Sym_Groups.thy,Algebra,42,24,18,0
Analysis/FSigma.thy,Analysis,31,24,7,0
Analysis/Function_Topology.thy,Analysis,52,24,28,0
Auth/Guard/Guard_Public.thy,Auth,28,24,4,0
Bali/DefiniteAssignmentCorrect.thy,Bali,53,24,29,0
Bali/Term.thy,Bali,25,24,1,0
Bali/WellType.thy,Bali,36,24,12,0
Data_Structures/Balance.thy,Data_Structures,28,24,4,0
Data_Structures/Brother12_Set.thy,Data_Structures,34,24,10,0
Groups_List.thy,.,28,24,3,0
HOLCF/Deflation.thy,HOLCF,42,24,18,0
Imperative_HOL/ex/Linked_Lists.thy,Imperative_HOL,55,24,31,0
Lazy_Sequence.thy,.,24,24,0,0
Library/Lattice_Constructions.thy,Library,24,24,0,0
Metis_Examples/Clausification.thy,Metis_Examples,24,24,0,0
Metis_Examples/Proxies.thy,Metis_Examples,24,24,0,0
MicroJava/DFA/Err.thy,MicroJava,40,24,16,0
TLA/TLA.thy,TLA,101,24,77,0
Types_To_Sets/Examples/Linear_Algebra_On_With.thy,Types_To_Sets,26,24,2,0
UNITY/SubstAx.thy,UNITY,52,24,28,0
Auth/Guard/Proto.thy,Auth,40,23,17,0
Bali/Eval.thy,Bali,67,23,44,0
Data_Structures/Tries_Binary.thy,Data_Structures,34,23,11,0
Fun_Def.thy,.,31,23,8,0
HOLCF/Library/Option_Cpo.thy,HOLCF,29,23,6,0
HOLCF/Map_Functions.thy,HOLCF,45,23,22,0
HOLCF/ex/Domain_Proofs.thy,HOLCF,34,23,11,0
Induct/PropLog.thy,Induct,29,23,6,0
Library/Centered_Division.thy,Library,28,23,5,0
Library/Option_ord.thy,Library,24,23,1,0
MicroJava/BV/Effect.thy,MicroJava,30,23,7,0
Probability/PMF_Impl.thy,Probability,29,23,5,0
ex/Gauge_Integration.thy,ex,42,23,19,0
Algebra/Algebraic_Closure_Type.thy,Algebra,32,22,10,0
Analysis/Embed_Measure.thy,Analysis,34,22,12,0
Analysis/ex/Approximations.thy,Analysis,41,22,19,0
Bali/TypeRel.thy,Bali,78,22,56,0
Isar_Examples/Hoare.thy,Isar_Examples,29,22,7,0
Number_Theory/Quadratic_Reciprocity.thy,Number_Theory,38,22,16,0
ex/Set_Comprehension_Pointfree_Examples.thy,ex,23,22,1,1
Analysis/Norm_Arith.thy,Analysis,22,21,1,0
Bali/TypeSafe.thy,Bali,97,21,76,1
Data_Structures/AList_Upd_Del.thy,Data_Structures,23,21,2,0
Eisbach/Example_Metric.thy,Eisbach,21,21,0,0
HOLCF/Tr.thy,HOLCF,23,21,2,0
Hoare_Parallel/RG_Tran.thy,Hoare_Parallel,37,21,16,0
Library/Complemented_Lattices.thy,Library,28,21,7,0
Library/Discrete_Functions.thy,Library,38,21,17,0
Library/Uprod.thy,Library,24,21,3,0
Metis_Examples/Abstraction.thy,Metis_Examples,29,21,8,0
MicroJava/BV/Correct.thy,MicroJava,36,21,15,0
Nominal/Examples/CR_Takahashi.thy,Nominal,28,21,7,0
ex/List_to_Set_Comprehension_Examples.thy,ex,21,21,0,0
Algebra/Algebraic_Closure.thy,Algebra,42,20,22,0
Algebra/Ideal.thy,Algebra,56,20,36,0
Analysis/Determinants.thy,Analysis,53,20,33,0
Analysis/Summation_Tests.thy,Analysis,58,20,38,0
Complete_Partial_Order.thy,.,26,20,6,0
Decision_Procs/Rat_Pair.thy,Decision_Procs,42,20,22,0
HOLCF/FOCUS/Buffer.thy,HOLCF,36,20,16,0
HOLCF/Representable.thy,HOLCF,22,20,2,0
HOLCF/Up.thy,HOLCF,25,20,5,0
HOLCF/ex/Pattern_Match.thy,HOLCF,25,20,5,0
Hahn_Banach/Vector_Space.thy,Hahn_Banach,38,20,18,0
Induct/Com.thy,Induct,25,20,5,0
Library/Cardinality.thy,Library,24,20,4,0
Library/While_Combinator.thy,Library,36,20,16,0
